Year,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2006,9.82,21.20,40.59,67.61,97.85,129.21,156.51,178.37,193.57,202.04,204.68,202.39,198.48,193.66,187.73,180.58,173.48,166.53,160.43,154.73,147.31,136.55,124.35,110.91,95.84,78.70,62.58,47.23,33.74,22.45,13.56,7.89,4.23,2.26,1.07
2007,10.61,22.75,42.64,69.80,99.78,130.61,157.85,180.19,196.02,205.13,208.14,205.85,201.66,196.31,189.75,181.91,174.39,167.28,161.25,155.79,148.65,138.07,125.99,112.59,97.42,80.03,63.65,48.04,34.26,22.70,13.56,7.79,4.08,2.09,0.94
2008,11.41,24.27,44.58,71.76,101.33,131.48,158.54,181.27,197.68,207.39,210.77,208.50,204.04,198.19,191.02,182.53,174.62,167.38,161.45,156.26,149.43,139.07,127.16,113.84,98.62,81.03,64.46,48.64,34.64,22.86,13.51,7.67,3.93,1.93,0.81
2009,11.36,24.27,45.00,72.97,103.36,134.15,161.11,183.01,198.44,207.22,210.00,207.57,203.27,197.84,191.19,183.26,175.62,168.39,162.18,156.50,149.16,138.47,126.32,112.88,97.69,80.35,63.93,48.23,34.35,22.67,13.34,7.56,3.86,1.89,0.79
2010,11.30,24.20,45.28,73.93,105.02,136.35,163.12,184.12,198.53,206.35,208.53,205.93,201.81,196.82,190.70,183.35,176.02,168.81,162.36,156.22,148.39,137.42,125.07,111.55,96.44,79.41,63.18,47.66,33.95,22.42,13.14,7.45,3.80,1.86,0.78
2011,11.55,24.68,46.22,75.51,107.06,138.54,164.79,184.65,197.88,204.68,206.22,203.44,199.42,194.77,189.08,182.24,175.19,168.04,161.38,154.84,146.63,135.53,123.18,109.76,94.91,78.40,62.50,47.22,33.69,22.30,13.01,7.38,3.77,1.84,0.78
2012,11.57,24.56,45.62,74.08,104.62,135.00,160.50,179.99,193.14,200.09,201.82,199.17,195.15,190.35,184.45,177.34,170.08,162.76,156.06,149.60,141.58,130.66,118.55,105.41,90.88,74.66,59.30,44.69,31.85,21.12,12.60,7.28,3.85,2.00,0.91
2013,11.54,24.32,44.79,72.28,101.65,130.81,155.44,174.50,187.52,194.58,196.48,193.97,189.96,185.06,179.01,171.70,164.29,156.88,150.21,143.91,136.14,125.47,113.63,100.82,86.65,70.72,55.93,42.01,29.89,19.86,12.11,7.12,3.90,2.13,1.04
2014,11.60,24.27,44.25,70.83,99.03,126.84,150.48,168.97,181.78,188.91,190.98,188.67,184.79,179.92,173.84,166.42,158.90,151.40,144.75,138.58,131.01,120.46,108.78,96.17,82.24,66.46,52.19,38.98,27.63,18.37,11.52,6.92,3.94,2.27,1.17
2015,11.62,24.20,43.81,69.72,97.11,124.08,147.19,165.50,178.30,185.54,187.69,185.35,181.34,176.25,169.93,162.27,154.64,147.12,140.60,134.67,127.40,117.12,105.71,93.38,79.70,64.09,50.15,37.34,26.38,17.48,11.02,6.62,3.78,2.18,1.13
2016,11.74,24.33,43.73,69.17,95.90,122.12,144.75,162.87,175.68,183.04,185.29,182.99,178.93,173.72,167.25,159.38,151.62,144.04,137.57,131.80,124.72,114.55,103.27,91.06,77.48,61.90,48.18,35.70,25.10,16.57,10.51,6.34,3.64,2.11,1.10
2017,11.82,24.44,43.67,68.77,95.06,120.82,143.24,161.43,174.38,181.89,184.19,181.80,177.55,172.07,165.32,157.20,149.31,141.76,135.43,129.88,123.07,113.14,102.09,90.08,76.66,61.17,47.56,35.18,24.64,16.16,10.12,6.00,3.36,1.87,0.93
2018,11.79,24.38,43.53,68.47,94.56,120.09,142.30,160.33,173.17,180.63,182.95,180.63,176.49,171.15,164.52,156.51,148.70,141.19,134.87,129.31,122.47,112.53,101.47,89.48,76.08,60.63,47.05,34.72,24.24,15.80,9.77,5.71,3.11,1.67,0.80
2019,11.70,24.19,43.16,67.88,93.73,119.05,141.10,159.00,171.76,179.18,181.48,179.17,175.06,169.76,163.18,155.23,147.48,140.05,133.78,128.25,121.46,111.60,100.65,88.78,75.51,60.23,46.75,34.47,23.99,15.53,9.40,5.38,2.81,1.42,0.62
2020,11.63,24.03,42.83,67.27,92.78,117.73,139.46,157.13,169.73,177.08,179.39,177.16,173.18,168.03,161.60,153.79,146.16,138.81,132.60,127.11,120.34,110.53,99.64,87.84,74.65,59.48,46.09,33.90,23.52,15.13,9.01,5.07,2.56,1.21,0.48
2021,11.56,23.90,42.53,66.69,91.85,116.41,137.82,155.25,167.71,174.99,177.31,175.17,171.31,166.30,160.02,152.36,144.85,137.60,131.46,126.02,119.30,109.54,98.71,86.99,73.88,58.80,45.49,33.39,23.08,14.74,8.64,4.76,2.31,1.01,0.34
2022,11.50,23.76,42.19,66.03,90.81,114.94,136.00,153.20,165.50,172.72,175.06,172.99,169.24,164.39,158.25,150.74,143.36,136.23,130.19,124.84,118.19,108.50,97.76,86.12,73.10,58.11,44.89,32.89,22.65,14.39,8.31,4.50,2.10,0.84,0.23
2023,11.38,23.51,41.74,65.31,89.80,113.67,134.52,151.56,163.76,170.92,173.23,171.18,167.47,162.67,156.59,149.15,141.86,134.81,128.84,123.54,116.95,107.38,96.76,85.26,72.39,57.58,44.48,32.56,22.39,14.15,8.02,4.26,1.90,0.68,0.12
